posture,workstation,semi_auto_score_a,semi_auto_score_b_right,semi_auto_score_b_left,semi_auto_grandscore_right,semi_auto_grandscore_left,semi_auto_grandscore,semi_auto_risk,man_score_a,man_score_b_right,man_score_b_left,man_grandscore_right,man_grandscore_left,man_grandscore,man_risk
P1,L1W1,3,2,2,8,8,8,4,1,2,2,6,6,6,3
P2,L1W1,3,2,3,7,7,7,3,1,2,6,6,8,8,4
P3,L1W1,3,2,2,7,7,7,3,1,5,5,7,7,7,3
P4,L1W1,3,2,3,7,7,7,3,3,2,3,7,7,7,3
P5,L1W1,2,2,2,6,6,6,3,3,2,2,7,7,7,3
P6,L1W1,3,2,2,7,7,7,3,2,2,2,7,7,7,3
P7,L1W2,2,2,2,6,6,6,3,3,5,2,8,7,8,4
P8,L1W2,2,2,2,6,6,6,3,5,6,2,10,9,10,4
P9,L1W2,1,2,2,5,5,5,3,1,3,2,5,5,5,3
P10,L1W2,1,2,2,5,5,5,3,4,2,2,7,7,7,3
P11,L1W2,1,3,2,5,5,5,3,4,6,2,10,7,10,4
P12,L1W3,2,2,2,6,6,6,3,1,2,2,5,5,5,3
P13,L1W3,2,2,2,6,6,6,3,1,5,2,7,5,7,3
P14,L1W3,2,3,2,6,6,6,3,1,4,4,6,6,6,3
P15,L1W3,1,2,2,5,5,5,3,2,2,3,6,6,6,3
P16,L1W3,1,2,2,5,5,5,3,1,2,2,5,5,5,3
P17,L1W4,1,3,2,5,5,5,3,1,5,2,7,5,7,3
P18,L1W4,2,2,2,6,6,6,3,1,2,2,5,5,5,3
P19,L1W4,1,4,2,6,5,6,3,2,7,3,9,6,9,4
P20,L1W4,2,2,2,6,6,6,3,2,2,4,6,6,6,3
P21,L1W5,2,2,2,6,6,6,3,4,3,2,8,7,8,4
P22,L1W5,1,2,2,5,5,5,3,1,2,2,5,5,5,3
P23,L1W5,2,2,2,8,7,8,4,1,2,2,6,6,6,3
P24,L2W1,2,2,2,7,7,7,3,3,2,2,7,7,7,3
P25,L2W1,2,2,4,7,8,8,4,1,5,5,8,8,8,4
P26,L2W1,3,3,2,8,7,8,4,1,5,5,8,8,8,4
P27,L2W1,1,2,2,6,6,6,3,3,6,5,11,10,11,5
P28,L2W1,3,3,2,8,7,8,4,1,6,5,9,8,9,4
P29,L3W1,2,3,2,6,6,6,3,2,5,3,7,6,7,3
P30,L3W1,1,2,2,5,5,5,3,1,5,2,7,5,7,3
P31,L3W1,2,2,2,6,6,6,3,4,2,3,7,7,7,3
P32,L3W3,2,2,2,6,6,6,3,3,2,2,7,7,7,3
P33,L3W3,1,2,2,5,5,5,3,3,2,2,7,7,7,3
P34,L3W4,2,2,2,6,6,6,3,3,2,2,7,7,7,3
P35,L3W4,2,2,2,6,6,6,3,3,3,3,7,7,7,3
P36,L3W5,2,2,2,6,6,6,3,2,2,5,6,7,7,3
P37,L3W5,2,2,2,6,6,6,3,1,2,2,5,5,5,3
P38,L3W5,2,3,2,6,6,6,3,3,5,2,8,7,8,4
P39,L3W5,1,3,2,6,5,6,3,2,5,7,7,9,9,4
P40,L3W5,2,3,2,6,6,6,3,2,3,5,6,7,7,3
P41,L3W5,2,2,2,6,6,6,3,5,2,3,9,9,9,4
P42,L3W5,1,2,2,5,5,5,3,6,5,2,12,10,12,5
P43,L3W5,1,2,2,5,5,5,3,1,2,2,5,5,5,3
P44,L3W6,2,2,2,6,6,6,3,1,2,3,5,5,5,3
P45,L3W6,2,2,2,6,6,6,3,1,3,6,5,7,7,3
P46,L3W6,2,2,2,6,6,6,3,1,5,5,7,7,7,3
P47,L3W7,3,4,2,9,6,9,4,1,4,4,7,7,7,3
P48,L3W7,2,3,2,7,6,7,3,4,5,2,10,7,10,4
P49,L3W7,6,4,3,12,11,12,5,6,5,5,12,12,12,5
P50,L3W7,2,2,2,6,6,6,3,1,5,5,7,7,7,3
