posture,workstation,semi_auto_score_a_right,semi_auto_score_a_left,semi_auto_score_b,semi_auto_grandscore_right,semi_auto_grandscore_left,semi_auto_grandscore,semi_auto_risk,man_score_a_right,man_score_a_left,man_score_b,man_grandscore_right,man_grandscore_left,man_grandscore,man_risk
P1,L1W1,2,2,3,5,5,5,3,2,2,5,6,6,6,3
P2,L1W1,2,3,2,4,5,5,3,2,4,1,3,5,5,3
P3,L1W1,2,2,3,5,5,5,3,5,5,1,6,6,6,3
P4,L1W1,3,3,3,6,6,6,3,2,3,5,6,7,7,4
P5,L1W1,3,3,1,5,5,5,3,3,3,2,6,6,6,3
P6,L1W1,2,2,3,5,5,5,3,3,3,2,6,6,6,3
P7,L1W2,2,2,2,3,3,3,2,4,3,2,4,3,4,2
P8,L1W2,2,2,2,3,3,3,2,4,3,7,7,6,7,4
P9,L1W2,3,3,1,3,3,3,2,4,3,5,7,6,7,4
P10,L1W2,2,2,1,3,3,3,2,3,2,5,6,5,6,3
P11,L1W2,3,2,1,3,3,3,2,4,3,6,7,6,7,4
P12,L1W3,2,2,2,3,3,3,2,3,3,1,3,3,3,2
P13,L1W3,2,2,2,3,3,3,2,4,2,1,4,3,4,2
P14,L1W3,3,3,2,4,3,4,2,4,5,1,4,4,4,2
P15,L1W3,2,2,1,3,3,3,2,3,4,2,3,4,4,2
P16,L1W3,2,2,3,4,4,4,2,3,3,3,4,4,4,2
P17,L1W4,3,3,2,4,4,4,2,5,3,1,4,3,4,2
P18,L1W4,2,3,2,3,3,3,2,3,3,1,3,3,3,2
P19,L1W4,3,2,2,4,3,4,2,6,4,2,6,4,6,3
P20,L1W4,2,2,1,3,3,3,2,2,3,4,4,5,5,3
P21,L1W5,3,3,2,3,3,3,2,3,3,3,4,4,4,2
P22,L1W5,2,2,1,3,3,3,2,2,3,2,3,3,3,2
P23,L1W5,3,3,2,5,5,5,3,2,2,1,3,3,3,2
P24,L2W1,2,2,2,6,6,6,3,3,3,3,7,7,7,4
P25,L2W1,2,3,2,6,6,6,3,4,5,3,7,7,7,4
P26,L2W1,2,2,3,7,7,7,4,4,5,3,7,7,7,4
P27,L2W1,3,3,1,6,6,6,3,4,4,2,7,7,7,4
P28,L2W1,2,2,3,7,7,7,4,4,4,3,7,7,7,4
P29,L3W1,3,3,2,3,3,3,2,4,4,2,4,4,4,2
P30,L3W1,3,2,1,3,3,3,2,5,3,3,6,4,6,3
P31,L3W1,2,2,1,3,3,3,2,2,3,8,6,6,6,3
P32,L3W3,3,3,1,3,3,3,2,3,3,2,3,3,3,2
P33,L3W3,2,2,2,3,3,3,2,2,2,3,4,4,4,2
P34,L3W4,2,2,2,3,3,3,2,3,2,3,4,4,4,2
P35,L3W4,3,2,2,4,3,4,2,4,4,3,6,6,6,3
P36,L3W5,2,2,1,3,3,3,2,2,4,3,4,6,6,3
P37,L3W5,2,2,1,3,3,3,2,3,3,3,4,4,4,2
P38,L3W5,3,2,1,3,3,3,2,4,2,5,7,5,7,4
P39,L3W5,3,2,2,3,3,3,2,4,6,3,6,6,6,3
P40,L3W5,3,2,2,3,3,3,2,4,4,2,4,4,4,2
P41,L3W5,3,3,1,3,3,3,2,3,3,4,5,5,5,3
P42,L3W5,2,2,1,3,3,3,2,4,3,6,7,6,7,4
P43,L3W5,3,3,1,3,3,3,2,3,3,1,3,3,3,2
P44,L3W6,2,2,2,6,6,6,3,2,4,2,4,6,6,3
P45,L3W6,2,2,2,6,6,6,3,4,4,1,5,5,5,3
P46,L3W6,2,2,2,6,6,6,3,4,4,1,5,5,5,3
P47,L3W7,3,2,2,5,5,5,3,4,4,1,5,5,5,3
P48,L3W7,3,2,2,6,5,6,3,4,2,6,7,6,7,4
P49,L3W7,3,3,5,7,7,7,4,4,4,7,7,7,7,4
P50,L3W7,2,2,1,4,4,4,2,4,4,1,5,5,5,3
